tweet, sentiment, polarity
b'@zakkthebear Lol Doug Wilson (aka Tire kicker) would be probably trade a 1st round pick to reacquire one of your fa\xe2\x80\xa6 https://t.co/LOO5WZZYU4',-0.34892473118279527,Negative
b'@SlacktivistFred Another dimension from Libby Anne:\nhttps://t.co/PMHmEGuvbD',-0.4795833333333329,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.4529680365296812,Negative
b'@zacpoppen @WilGafney There are many, many reasons Doug Wilson needs to sit down and shut up.',-0.39071895424836567,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.4328125000000008,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.4179039301310052,Negative
b"RT @j_perna: Started to get excited for the Eagles but then remembered that time Doug Baldwin threw a TD pass to Russell Wilson and now I'm\xe2\x80\xa6",-0.40090673575129565,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.41538461538461624,Negative
b'What does Doug Wilson sound like when the end of your accomplishments will restore the vital link between work and assistance.',-0.30817214700193385,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.4215429403202338,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.4529680365296812,Negative
b'RT @SanJoseSharks: #SJSharks GM Doug Wilson reacts to the expansion draft and #BurnsWonNorris. \n\nhttps://t.co/CRQ6OE6Bie',-0.43400655021834145,Negative
