tweet, sentiment, polarity
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.3701395207764643,Negative
b'@PredsTalk Have any sense if Poile is interested in Hamonic with the notion of flipping him to COL for Duchene?',-0.4218085106382975,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.3755894590846055,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.390152565880722,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.33273001508295624,Negative
b'The "I will defend Bergevin by ripping on Poile"  group is funny #habs',-0.38797468354430337,Negative
b"If Poile moves Josi for Duchene I'll give up. https://t.co/I8T6oKloP3",-0.39567099567099506,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.3701395207764643,Negative
b'@tessadebergh @kourtney_hansen @EddieScenic @CharlesEsten They picked James Neal. He was one of their great players\xe2\x80\xa6 https://t.co/XA7svs5jeZ',-0.27789124015748007,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.4254545454545459,Negative
b'RT @PREDSident: Whooohoooo David Poile! #NHLAwards2017 https://t.co/6EP1cKhpeb',-0.32954915806626855,Negative
b'RT @NickInParkEx: If Bergevin lost a scorer of James Neal quality for NOTHING, there would be riots outside the Bell Centre tonight. But Po\xe2\x80\xa6',-0.3992146596858641,Negative
b'RT @1025TheGame: Congratulations to @PredsNHL General Manager David Poile being named 2017 @NHL General Manager of the Year!  #Preds #Smash\xe2\x80\xa6',-0.41276595744680944,Negative
b'Poile has to make a move to get us a scorer.',-0.44455445544554417,Negative
b'Nashville Predators: Salary Cap advantage for Poile and Predators https://t.co/EtFfC93fYJ https://t.co/iebYlEwQpG',-0.4310689310689306,Negative
b'RT @PredsNHL: Congrats to our GM David Poile! None more deserving. #Preds https://t.co/MzAae5cyTF',-0.3759055038445981,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.3974341192787803,Negative
b"@MurphPreds Exactly. Poile doesn't need to make two moves right now. Get a star 2C and see what happens by mid point of season. Then assess.",-0.36737012987012946,Negative
b'RT @AdamVingan: David Poile wins GM of the Year. https://t.co/wKVrYzz5Hn',-0.4008888888888893,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.3085858585858586,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.40039592760181025,Negative
b"So to sum that up he's not getting traded to Nashville. Poile won't budge on big 4 dmen and rightfully so https://t.co/3ZkQk2OkKS",-0.3944940476190473,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.4215861344537823,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.3032448377581119,Negative
b'RT @FakeOilersGM: How many BOLD MOVES has General Manager of the Year David Poile made today?',-0.34743589743589764,Negative
b"RT @teamworksapp: Congratulations to @PredsNHL General Manager David Poile on being named the NHL's GM of the Year!! #TeamworksFamily https\xe2\x80\xa6",-0.4473557692307707,Negative
b'RT @PREDSident: Whooohoooo David Poile! #NHLAwards2017 https://t.co/6EP1cKhpeb',-0.3238219717544815,Negative
b'RT @PREDSident: Whooohoooo David Poile! #NHLAwards2017 https://t.co/6EP1cKhpeb',-0.32809953829440547,Negative
b'RT @Estedu59: RT un max si tu veux le voire \xc3\xa0 poile https://t.co/WfWjLKElka',-0.37677434030937296,Negative
b'RT @PredsNHL: GM OF THE YEAR! \n\nhttps://t.co/pmIchfA0tP',-0.47056818181818266,Negative
b'@CedPiixel Mais t\xe2\x80\x99as pas chang\xc3\xa9 d\xe2\x80\x99un poile mon pti pote \xf0\x9f\x98\x82',-0.4549999999999996,Negative
b"J'commence \xc3\xa0 croire que Poile \xc3\xa0 offert Weber vs Pk et Yzerman Drouin vs Sergatchev MB pas ass\xc3\xa9 Imaginatif pour proposer un trade  #ch #habs",-0.4670212765957443,Negative
b'RT @NickInParkEx: If Bergevin lost a scorer of James Neal quality for NOTHING, there would be riots outside the Bell Centre tonight. But Po\xe2\x80\xa6',-0.38194444444444475,Negative
